node,degree,strength,betweenness,closeness,clustering,community
Ren´e Holst,1,1,0.0,0.0,0.0,44
Bent Jørgensen,1,1,0.0,0.0,0.0,44
Farrukh Javed,1,1,0.0,0.0,0.0,45
Panagiotis Mantalos,1,1,0.0,0.0,0.0,45
Emilio G´omez–D´eniz,1,1,0.0,0.0,0.0,47
Enrique Calder´ın–Ojeda,1,1,0.0,0.0,0.0,47
Ibrahim Elbatal,1,1,0.0,0.0,0.0,48
Gokarna Aryal,1,1,0.0,0.0,0.0,48
Gajendra K. Vishwakarma,1,1,0.0,0.0,0.0,49
Manish Kumar,1,1,0.0,0.0,0.0,49
Ronny O. Vallejos,1,1,0.0,0.0,0.0,50
Silvia M. Ojeda,1,1,0.0,0.0,0.0,50
V.L. Mandowara,1,1,0.0,0.0,0.0,54
Nitu Mehta (Ranka),1,1,0.0,0.0,0.0,54
Jorge I. V´elez,1,1,0.0,0.0,0.0,65
Adarsha Kumar Jena,1,1,0.0,0.0,0.0,60
d Manas Ranjan Tripathy,1,1,0.0,0.0,0.0,60
Marcelo M. Taddeo,1,1,0.0,0.0,0.0,61
Pedro A. Morettin,1,1,0.0,0.0,0.0,61
Erlandson F. Saraiva,1,1,0.0,0.2,0.0,67
Yongwan Chun,1,1,0.0,0.0,0.0,62
Daniel A. Griffith,1,1,0.0,0.0,0.0,62
Michel Helcias Montoril,1,1,0.0,0.0,0.0,63
Cl´ecio da Silva Ferreira,1,1,0.0,0.0,0.0,63
Eduardo Horta,1,1,0.0,0.0,0.0,70
Flavio Ziegelmann,1,1,0.0,0.0,0.0,70
Luz Milena Zea Fernandez,1,1,0.0,0.0,0.0,73
Thiago A. N. de Andrade,1,1,0.0,0.0,0.0,73
Henrique José de Paula Alves,1,1,0.0,0.0,0.0,77
Ruth Burkhalter,1,1,0.0,0.0,0.0,80
Yuhlong Lio,1,1,0.0,0.0,0.0,80
Malinda Coa,1,1,0.0,0.0,0.0,82
Ernesto Ponsot,1,1,0.0,0.0,0.0,82
Francisco J. Ariza-Hernandez,1,1,0.0,0.0,0.0,83
Eduardo Gutiérrez-Peña2,1,1,0.0,0.0,0.0,83
Mar´ıa Duenas,1,1,0.0,0.0,0.0,87
Ramon Giraldo,1,1,0.0,0.0,0.0,87
Izabela R. Cardoso de Oliveira,1,1,0.0,0.0,0.0,77
Azaz Ahmed,1,1,0.0,0.0,0.0,92
Muhammad Azam,1,1,0.0,0.0,0.0,92
Alexsandro A. Ferreira,1,1,0.0,0.24342105263157895,0.0,91
Sahana Bhattacharjee,1,1,0.0,0.0,0.0,95
Subrata Chakraborty,1,1,0.0,0.0,0.0,95
Hadi Alizadeh Noughabi,1,1,0.0,0.0,0.0,97
Mohammad Shafaei Noughabi,1,1,0.0,0.0,0.0,97
Flavio B. Gonçalves,1,1,0.0,0.0,0.0,99
Pedro Franklin,1,1,0.0,0.0,0.0,99
Hayder Raaid Talib,1,1,0.0,0.0,0.0,31
Santiago Ortiz,1,1,0.0,0.0,0.0,100
Omar Becerra,1,1,0.0,0.0,0.0,100
Fabio P. Lima,1,1,0.0,0.0,0.0,78
